PreMECA_________________________________= 1.0
Proyecto________________________________= Prueba2_3D
 Unidadeslongitud_______________________= Cm,Kg,Seg
 Unidades_fuerza________________________= Cm,Kg,Seg
 Numero_de_nodos________________________= 64
 Numero_de_elementos____________________= 120
 Numero_de_prescripciones_______________= 16
 Numero_de_casos_de_carga_______________= 1
 Tipo_de_estructura__art,_emp_o_comb____= 2
 Numero_de_grados_de_libertad_por_nodo__= 6
 Numero_de_materiales___________________= 120
 Escritura_dat_en_res____________0_o_1__= 1
 Escritura_de_mat_de_rigid_______0_o_1__= 0
 Numero_de_dimensiones___________2_o_3__= 3
 Numero_de_apoyos_elasticos_____________= 0
 Numero_de_apoyos_inclinados____________= 0
 Numero_de_familias___(optimizacion?)___= 1
 Tipo_de_problema_____estatico_o_dinam__= 3

#\\\\\===============DEFINICION_DE_BARRAS===============/////
#No_material Nod_ini Nod_fin [RNod_aux] [RTipo_de_barra] [Rot_sobre_eje_prop] #[ang_1;ang_2;ang_3]
	1	1	2	0 	0.0      
	2	2	3	0	0.0
	3	3	4	0	0.0
	4	4	5	0	0.0
	5	5	6	0	0.0
	6	6	7	0	0.0	
	7	7	8	0	0.0
	8	8	9	0	0.0  
	9	9	10	0 	0.0      
	10	10	11	0	0.0
	11	11	12	0	0.0
	12	12	1	0	0.0
	13	13	14	0	0.0
	14	16	13	0	0.0	
	15	15	16	0	0.0
	16	14	15	0	0.0 
	17	13	12	0	0.0
	18	13	2	0	0.0
	19	14	3	0	0.0
	20	14	5	0	0.0
	21	16	11	0	0.0
	22	16	9	0	0.0
	23	15	8	0	0.0
	24	15	6	0	0.0
	25	17	1	0	0.0
	26	18	2 	0 	0.0
	27	19	3	0 	0.0	
	28	20	4	0	0.0
	29	21	5	0	0.0
	30	22	6	0	0.0	
	31	23	7	0	0.0	
	32	24	8	0	0.0	
	33	25	9	0	0.0
	34	26	10	0	0.0
	35	27	11	0	0.0
	36	28	12	0	0.0
	37	29	13	0	0.0	
	38	30	14	0	0.0	
	39	31	15	0	0.0
	40	32	16	0	0.0
	41	1	33	0	0.0
	42	2	34	0	0.0
	43	3	35	0	0.0
	44	4	36	0	0.0
	45	5	37	0	0.0
	46	6	38	0	0.0
	47	7	35	0	0.0
	48	8	40	0	0.0
	49	9	41	0	0.0
	50	10	42	0	0.0
	51	11	43	0	0.0
	52	12	44	0	0.0
	53	13	45	0	0.0
	54	14	46	0	0.0
	55	15	47	0	0.0
	56	16	48	0	0.0
	57	33	34	0	0.0
	58	34	35	0	0.0
	59	35	36	0	0.0
	60	36	37	0	0.0
	61	37	38	0	0.0
	62	38	39	0	0.0
	63	39	40	0	0.0
	64	40	41	0	0.0
	65	41	42	0	0.0
	66	42	43	0	0.0
	67	43	44	0	0.0
	68	44	33	0	0.0
	69 	44	45	0	0.0
	70	45	46	0	0.0
	71	46	47	0	0.0
	72	47	48	0	0.0
	73	48	45	0	0.0
	74	48	41	0	0.0
	75	48	43	0	0.0
	76	45	34 	0	0.0
	77	46	35	0	0.0
	78	46	37	0	0.0
	79	47	38	0	0.0
	80	47	40	0	0.0
	81	49	50	0	0.0
	82	50	51	0	0.0
	83	51	52	0	0.0
	84	52	53	0	0.0
	85	53	54	0	0.0
	86	54	55	0	0.0
	87	55	56	0	0.0	
	88	56	57	0	0.0
	89	57	58	0	0.0
	90	58	59	0	0.0
	91	59	60	0	0.0
	92	60	49	0	0.0
	93	60	61	0	0.0
	94	61	62	0	0.0
	95	62	53	0	0.0
	96	63	54	0	0.0
	97	63	64	0	0.0
	98	64	59	0	0.0
