secciones_en_catalogo: 22
1 350S162-20 1.646   20.475   3.860   4.606   1.405   2.705   1.153   0.088   0.176   8.890   4.128   1.270   0.305 
2 400S162-20 1.758   27.969   4.047   5.506   1.428   3.245   1.210   0.088   0.176   10.160   4.128   1.270   0.305 
3 350S200-20 1.870   24.226   6.966   5.450   2.170   3.157   1.656   0.088   0.176   8.890   5.080   1.587   0.305 
4 400S200-20 1.981   32.960   7.317   6.488   2.208   3.768   1.739   0.088   0.176   10.160   5.080   1.587   0.305 
5 350S162-18 2.131   26.268   4.901   5.910   1.783   3.487   1.480   0.115   0.229   8.890   4.128   1.270   0.305 
6 600S162-20 2.205   73.023   4.604   9.583   1.492   5.761   1.388   0.088   0.176   15.240   4.128   1.270   0.305 
7 400S162-18 2.277   35.927   5.139   7.072   1.814   4.187   1.553   0.115   0.229   10.160   4.128   1.270   0.305 
8 350S200-18 2.422   31.132   8.891   7.004   2.769   4.075   2.131   0.115   0.229   8.890   5.080   1.587   0.305 
9 600S200-20 2.428   84.772   8.399   11.125   2.314   6.568   2.007   0.088   0.176   15.240   5.080   1.587   0.305 
10 400S200-18 2.568   42.403   9.342   8.347   2.819   4.868   2.239   0.115   0.229   10.160   5.080   1.587   0.305 
11 350S162-16 2.654   32.392   5.973   7.287   2.173   4.324   1.826   0.144   0.288   8.890   4.128   1.270   0.305 
12 400S162-16 2.837   44.364   6.265   8.733   2.212   5.195   1.916   0.144   0.288   10.160   4.128   1.270   0.305 
13 600S162-18 2.859   94.097   5.849   12.349   1.896   7.448   1.782   0.115   0.229   15.240   4.128   1.270   0.305 
14 350S200-16 3.020   38.461   10.902   8.653   3.395   5.060   2.637   0.144   0.288   8.890   5.080   1.587   0.305 
15 600S200-18 3.150   109.367   10.728   14.353   2.956   8.498   2.585   0.115   0.229   15.240   5.080   1.587   0.305 
16 400S200-16 3.202   52.451   11.458   10.325   3.458   6.048   2.771   0.144   0.288   10.160   5.080   1.587   0.305 
17 800S162-18 3.441   189.153   6.319   18.617   1.943   11.448   1.941   0.115   0.229   20.320   4.128   1.270   0.305 
18 600S162-16 3.567   116.602   7.135   15.302   2.314   9.262   2.199   0.144   0.288   15.240   4.128   1.270   0.305 
19 800S200-18 3.732   216.973   11.683   21.356   3.037   12.868   2.837   0.115   0.229   20.320   5.080   1.587   0.305 
20 600S200-16 3.932   135.706   13.166   17.809   3.628   10.578   3.201   0.144   0.288   15.240   5.080   1.587   0.305 
21 800S162-16 4.298   234.870   7.709   23.117   2.373   14.256   2.395   0.144   0.288   20.320   4.128   1.270   0.305 
22 800S200-16 4.663   269.703   14.340   26.546   3.730   16.036   3.513   0.144   0.288   20.320   5.080   1.587   0.305


1 EOT-YU-OMEGA  24.9615  6640.1091  2089.1787  299.2806  123.6082  0.0000  0.0000  0.2667  0.0000  38.1  25.4  3.4036  0.47625
2 EOT-YU-C1  8.6684  854.8259  84.7044  67.3091  12.9847  0.0000  0.0000  0.1905  0.0000  25.4000  8.8900  1.8288  0.2381
3 EOT-YU-C2-399   10.019  629.550  74.672  61.959  13.831  0.0000  0.0000  0.267  0.0000  20.320  7.620  2.057  0.476
4 EOT-SAP-MECA 5.9146   459.8857   38.5403   40.235   6.6853   0.0   0.0   0.1524   0.3048   22.860   7.620   1.270   0.635

A-Ix-Iy-Sx-Sy-Qx-Qy-Tx-Ty-H-B-D-R
1 EOT-1 5.9146   459.8857   38.5403   40.235   6.6853   0.0   0.0   0.1524   0.3048   22.860   7.620   1.270   0.635
